incident_id,source_text_path,output_json_path,provider,model,extracted,extracted_at,valid,validation_errors,error,raw_response_path
bp-mc-778-a-8-june-2022,data/raw/bsee/text/bp-mc-778-a-8-june-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/bp-mc-778-a-8-june-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:32:17.621202+00:00,True,,,
bs-54-cantium-llc-06oct2019,data/raw/bsee/text/bs-54-cantium-llc-06oct2019.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/bs-54-cantium-llc-06oct2019.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:32:40.881839+00:00,True,,,
bs-55eb-cantium-llc-13-oct-2020-v2,data/raw/bsee/text/bs-55eb-cantium-llc-13-oct-2020-v2.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/bs-55eb-cantium-llc-13-oct-2020-v2.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:33:04.208853+00:00,True,,,
cantium20mp204220d2008-nov-22,data/raw/bsee/text/cantium20mp204220d2008-nov-22.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cantium20mp204220d2008-nov-22.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:33:26.099510+00:00,True,,,
chevron-usa-wr-634-21-sept-2020,data/raw/bsee/text/chevron-usa-wr-634-21-sept-2020.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/chevron-usa-wr-634-21-sept-2020.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:33:56.060685+00:00,True,,,
cox-hi-472-a-21-oct-2022,data/raw/bsee/text/cox-hi-472-a-21-oct-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-hi-472-a-21-oct-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:34:17.125837+00:00,True,,,
cox-mp-73-a-30-jan-2022,data/raw/bsee/text/cox-mp-73-a-30-jan-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-mp-73-a-30-jan-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:34:32.823678+00:00,True,,,
cox-mp-73-cf-27-jan-2022,data/raw/bsee/text/cox-mp-73-cf-27-jan-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-mp-73-cf-27-jan-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:34:55.390622+00:00,True,,,
cox-operating-wd-74-f-29-july-2022,data/raw/bsee/text/cox-operating-wd-74-f-29-july-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-operating-wd-74-f-29-july-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:35:10.174506+00:00,True,,,
cox-st-26-d-14-mar-2021-revised,data/raw/bsee/text/cox-st-26-d-14-mar-2021-revised.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-st-26-d-14-mar-2021-revised.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:35:24.315120+00:00,True,,,
cox-wd-109-cox-a-06-apr-2022,data/raw/bsee/text/cox-wd-109-cox-a-06-apr-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-wd-109-cox-a-06-apr-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:35:44.176789+00:00,True,,,
cox-wd-31-e-19-nov-2022,data/raw/bsee/text/cox-wd-31-e-19-nov-2022.txt,data/structured/incidents/raw/anthropic_bsee_canonical_526/schema_v2_3/cox-wd-31-e-19-nov-2022.json,schema_v2_3,claude-haiku-4-5-20251001,True,2026-02-20T08:36:01.775070+00:00,True,,,
